Designator,Footprint,Quantity,Value,LCSC Part #
"3.3V-PWR1, RELAY1, RELAY2, RELAY3, RELAY4",0805,5,RED_LED,
C4,0402,1,100nF,
"D5, D6, D7, D9",D_MELF_Handsoldering,4,1N4007,
"J2, J3, J4, J5","TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",4,Screw_Terminal_01x03,
"J6, J7","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",2,Screw_Terminal_01x02,
"K1, K2, K3, K4",RELAY_SRD-05VDC-SL-C,4,SRD-05VDC-SL-C,
"Q3, Q4, Q5, Q6",TSOT-23_HandSoldering,4,BC547A,
"R13, R14, R15, R16, R17, R18, R19, R8",0805,8,1K,
"R20, R21, R22, R23",0402,4,100R,
R3,0402,1,1K,
"U5, U6, U7, U8",SMDIP-4_W7.62mm,4,PC817,
U9,SOP65P640X120-14N,1,SN74AHCT125PWR,
