Designator,Mid X,Mid Y,Rotation,Layer
3.3V-PWR1,69.89,-34.4125,270.0,top
C4,74.515,-65.685,90.0,top
D5,45.955,-82.84,180.0,top
D6,68.005,-82.84,180.0,top
D7,90.305,-82.84,180.0,top
D9,112.385,-82.84,180.0,top
J2,43.68,-113.035,0.0,top
J3,65.913333,-113.035,0.0,top
J4,88.146666,-113.035,0.0,top
J5,110.38,-113.035,0.0,top
J6,43.88,-40.605,180.0,top
J7,58.635,-40.605,180.0,top
K1,43.715,-96.1225,270.0,top
K2,65.915,-96.1225,270.0,top
K3,88.115,-96.1225,270.0,top
K4,110.315,-96.1225,270.0,top
Q3,43.555,-79.025,0.0,top
Q4,65.555,-79.2,0.0,top
Q5,87.93,-79.15,0.0,top
Q6,109.895,-79.05,0.0,top
R13,64.905,-69.7,0.0,top
R14,87.325,-69.555,0.0,top
R15,49.495,-79.52,0.0,top
R16,71.605,-79.52,0.0,top
R17,93.805,-79.52,0.0,top
R18,109.4,-69.725,0.0,top
R19,115.925,-79.52,0.0,top
R20,76.84,-106.81,180.0,top
R21,54.565,-106.91,180.0,top
R22,97.99,-106.2325,270.0,top
R23,100.34,-106.26,270.0,top
R3,71.96,-33.65,270.0,top
R8,42.895,-69.555,0.0,top
RELAY1,39.73,-74.975,270.0,top
RELAY2,61.555,-75.0,270.0,top
RELAY3,83.93,-75.025,270.0,top
RELAY4,105.905,-74.975,270.0,top
U5,46.155,-74.025,0.0,top
U6,68.155,-74.025,0.0,top
U7,90.605,-74.025,0.0,top
U8,112.665,-74.025,0.0,top
U9,78.09,-68.53,90.0,top
