Comment,Designator,Footprint,LCSC
EL817,"U4,U5,U6,U7",DIP-4_W7.62mm,C106900
100nF,"C1,C11,C12,C2,C4,C5",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1525
1K,"R13,R14,R15,R16,R17,R18,R19,R3,R6,R7,R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513
4u7,C6,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1779
100R,"R20,R21,R22,R23",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25076
22R,"R10,R11",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25092
10K,"R1,R2,R9",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744
5K1,"R4,R5",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25905
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,C2988369
SW_SPST,"SW1,SW2",SW_Push_1P1T_XKB_TS-1187A,C318884
SRD-05VDC-SL-C,"K1,K2,K3,K4",RELAY_SRD-05VDC-SL-C,C35449
SN74AHCT125PWR,U9,SOP65P640X120-14N,C36365
SS8050,"Q1,Q2,Q3,Q4,Q5,Q6",SOT-23,C431710
22u,"C10,C13,C3,C7,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C45783
Screw_Terminal_01x03,"J2,J3,J4,J5",CONN-TH_3P-P5.00_KF301-5.0-3P,C474886
Screw_Terminal_01x02,"J6,J7",CONN-TH_P5.00_KF301-5.0-2P,C474885
CP2104,U3,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,C47742
AMS1117-3.3,U2,SOT-223-3_TabPin2,C6186
C7420350,"D1,D2,D3,D9",D_MELF_Handsoldering,C7420350
ESP32-S2-WROOM-1-N4(4MB),U8,WIFI-SMD_ESP32-S2-WROVER-I,C7463335
RED_LED,"RELAY1,RELAY2,RELAY3,RELAY4",LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84256
