Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,90.48,-45.03,90,top
C2,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,90.48,-38.2125,-90,top
C3,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,65.901029,-30.9425,90,top
C4,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,66.75,-78.9825,90,top
C5,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,61.3,-30.155,90,top
C6,4u7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,63.401029,-30.9675,90,top
C7,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,64.851029,-46.765,180,top
C9,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,64.851029,-44.09,180,top
C10,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,64.851029,-39.07,180,top
C11,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,65.601029,-37.205,180,top
C12,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,78.58,-46.665,90,top
C13,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,79.1,-42.425,-90,top
D1,C7420350,D_MELF_Handsoldering,82.655,-73.2075,180,top
D2,C7420350,D_MELF_Handsoldering,60.445,-73.065,180,top
D3,C7420350,D_MELF_Handsoldering,38.275,-73.145,180,top
D9,C7420350,D_MELF_Handsoldering,104.985,-73.0775,180,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,68.835,-24.315,180,top
J2,Screw_Terminal_01x03,CONN-TH_3P-P5.00_KF301-5.0-3P,35.436003,-103.160003,0,top
J3,Screw_Terminal_01x03,CONN-TH_3P-P5.00_KF301-5.0-3P,57.636003,-103.160003,0,top
J4,Screw_Terminal_01x03,CONN-TH_3P-P5.00_KF301-5.0-3P,79.836003,-103.160003,0,top
J5,Screw_Terminal_01x03,CONN-TH_3P-P5.00_KF301-5.0-3P,102.036003,-103.160003,0,top
J6,Screw_Terminal_01x02,CONN-TH_P5.00_KF301-5.0-2P,35.86,-30.11,0,top
J7,Screw_Terminal_01x02,CONN-TH_P5.00_KF301-5.0-2P,50.64,-30.11,0,top
K1,SRD-05VDC-SL-C,RELAY_SRD-05VDC-SL-C,35.72,-85.25625,-90,top
K2,SRD-05VDC-SL-C,RELAY_SRD-05VDC-SL-C,57.92,-85.25625,-90,top
K3,SRD-05VDC-SL-C,RELAY_SRD-05VDC-SL-C,80.12,-85.25625,-90,top
K4,SRD-05VDC-SL-C,RELAY_SRD-05VDC-SL-C,102.32,-85.25625,-90,top
Q1,SS8050,SOT-23,79.525,-29.64,180,top
Q2,SS8050,SOT-23,79.53,-33.53,0,top
Q3,SS8050,SOT-23,34.795,-68.7875,180,top
Q4,SS8050,SOT-23,56.965,-68.7075,180,top
Q5,SS8050,SOT-23,79.175,-68.85,180,top
Q6,SS8050,SOT-23,101.505,-68.72,180,top
R1,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,76.64,-32.95,90,top
R2,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,74.4,-34.77,0,top
R3,1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,72.96,-31.7875,90,top
R4,5K1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,71.028529,-30.105,0,top
R5,5K1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,72.59,-28.775,0,top
R6,1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,90.49,-41.94,-90,top
R7,1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,90.48,-35.2225,90,top
R8,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,29.57,-73.84,0,top
R9,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,65.628529,-35.655,0,top
R10,22R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,75.526029,-36.08,0,top
R11,22R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,75.526029,-37.355,0,top
R13,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,51.74,-73.76,0,top
R14,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,73.95,-73.9025,0,top
R15,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,39.86,-68.04,180,top
R16,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,62.03,-67.96,180,top
R17,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,84.24,-68.1025,180,top
R18,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,96.28,-73.7725,0,top
R19,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,106.57,-67.9725,180,top
R20,100R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,68.42,-97.3,180,top
R21,100R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,46.1575,-97.29,180,top
R22,100R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,89.9775,-97.3,180,top
R23,100R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,89.99,-101.5925,-90,top
RELAY1,RED_LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,30.425,-68.5875,90,top
RELAY2,RED_LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,52.595,-68.5075,90,top
RELAY3,RED_LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,74.805,-68.65,90,top
RELAY4,RED_LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,97.135,-68.52,90,top
SW1,SW_SPST,SW_Push_1P1T_XKB_TS-1187A,85.91,-43.435,0,top
SW2,SW_SPST,SW_Push_1P1T_XKB_TS-1187A,85.91,-36.71,180,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,72.91,-44.145,180,top
U3,CP2104,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,70.001029,-35.905,-90,top
U4,EL817,OPTO-SMD-4_L4.6-W6.5-P2.54-LS10.3-TL,82.595,-62.11,0,top
U5,EL817,OPTO-SMD-4_L4.6-W6.5-P2.54-LS10.3-TL,104.795,-62.11,0,top
U6,EL817,OPTO-SMD-4_L4.6-W6.5-P2.54-LS10.3-TL,60.395,-62.11,0,top
U7,EL817,OPTO-SMD-4_L4.6-W6.5-P2.54-LS10.3-TL,38.195,-62.11,0,top
U8,ESP32-S2-WROOM-1-N4(4MB),WIFI-SMD_ESP32-S2-WROVER-I,101.71,-40.4,0,top
U9,SN74AHCT125PWR,SOP65P640X120-14N,69.04,-84.48,0,top
