Designator,Footprint,Quantity,Value,LCSC Part #
"3.3V-PWR1, RELAY1, RELAY2, RELAY3, RELAY4",0805,5,RED_LED,
"BOOT, RESET",TS-1187A-B-A-B,2,SW_SPST,
"C1, C11, C12, C14, C2, C4, C5",0402,7,100nF,
"C10, C13, C3, C7, C9",0805,5,22u,
C6,0805,1,4u7,
"D5, D6, D7, D9",D_MELF_Handsoldering,4,1N4007,
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,
"J2, J3, J4, J5","TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",4,Screw_Terminal_01x03,
"J6, J7","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",2,Screw_Terminal_01x02,
"K1, K2, K3, K4",RELAY_SRD-05VDC-SL-C,4,SRD-05VDC-SL-C,
"Q1, Q2",SOT-23,2,SS8050,
"Q3, Q4, Q5, Q6",TSOT-23_HandSoldering,4,BC547A,
"R1, R2, R9",0402,3,10K,
"R10, R11",0402,2,22R,
"R12, R3, R6, R7",0402,4,1K,
"R13, R14, R15, R16, R17, R18, R19, R8",0805,8,1K,
"R20, R21, R22, R23",0402,4,100R,
"R4, R5",0402,2,5K1,
U1,SOT-666,1,USBLC6-2P6,
U10,XCVR_ESP32-S2-WROOM,1,ESP32-S2-WROOM,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2104,
"U5, U6, U7, U8",SMDIP-4_W7.62mm,4,PC817,
U9,SOP65P640X120-14N,1,SN74AHCT125PWR,
