Designator,Mid X,Mid Y,Rotation,Layer
3.3V-PWR1,85.06,-36.51,270.0,top
C1,102.490889,-42.718389,180.0,top
C10,72.751029,-49.465,180.0,top
C11,73.501029,-47.59,180.0,top
C12,117.645889,-41.718389,90.0,top
C13,121.3,-40.2,0.0,top
C14,117.875,-38.7,0.0,top
C2,110.433389,-42.718389,180.0,top
C3,73.801029,-41.3275,90.0,top
C4,74.515,-65.685,90.0,top
C5,69.226029,-40.54,90.0,top
C6,71.301029,-41.3525,90.0,top
C7,74.128529,-58.95375,180.0,top
C9,74.128529,-56.27875,180.0,top
D5,45.955,-82.84,180.0,top
D6,68.005,-82.84,180.0,top
D7,90.305,-82.84,180.0,top
D9,112.385,-82.84,180.0,top
J1,76.735,-33.515,180.0,top
J2,38.595,-113.34,0.0,top
J3,60.828333,-113.34,0.0,top
J4,83.061666,-113.34,0.0,top
J5,105.295,-113.34,0.0,top
J6,46.425,-40.3,180.0,top
J7,61.18,-40.3,180.0,top
K1,43.715,-96.435,270.0,top
K2,65.915,-96.435,270.0,top
K3,88.115,-96.435,270.0,top
K4,110.315,-96.435,270.0,top
Q1,93.2025,-41.26,0.0,top
Q2,93.2025,-45.96,180.0,top
Q3,43.555,-79.025,180.0,top
Q4,65.555,-79.2,180.0,top
Q5,87.93,-79.15,180.0,top
Q6,109.895,-79.05,180.0,top
R1,87.155,-43.45,0.0,top
R10,83.426029,-46.465,0.0,top
R11,83.426029,-47.74,0.0,top
R12,120.145889,-42.343389,180.0,top
R13,64.905,-69.7,0.0,top
R14,87.325,-69.555,0.0,top
R15,49.495,-79.52,0.0,top
R16,71.605,-79.52,0.0,top
R17,93.805,-79.52,0.0,top
R18,109.4,-69.725,0.0,top
R19,115.925,-79.52,0.0,top
R2,87.105,-41.825,0.0,top
R20,76.84,-106.81,180.0,top
R21,54.565,-106.91,180.0,top
R22,97.99,-106.2325,270.0,top
R23,100.34,-106.26,270.0,top
R3,82.976029,-44.14,0.0,top
R4,78.928529,-40.49,0.0,top
R5,80.49,-39.16,0.0,top
R6,105.908389,-42.743389,180.0,top
R7,113.983389,-42.718389,180.0,top
R8,42.895,-69.555,0.0,top
R9,73.528529,-46.04,0.0,top
RELAY1,39.73,-74.975,270.0,top
RELAY2,61.555,-75.0,270.0,top
RELAY3,83.93,-75.025,270.0,top
RELAY4,105.905,-74.975,270.0,top
SW-BOOT1,112.22,-37.19,90.0,top
SW-RESET1,104.21,-37.19,90.0,top
U1,76.425,-40.875,270.0,top
U2,80.801029,-55.565,90.0,top
U3,77.901029,-46.29,270.0,top
U4,117.68,-56.524,270.0,top
U5,46.155,-74.025,0.0,top
U6,68.155,-74.025,0.0,top
U7,90.605,-74.025,0.0,top
U8,112.665,-74.025,0.0,top
U9,78.09,-68.53,90.0,top
