Designator,Mid X,Mid Y,Rotation,Layer
3.3V-PWR1,77.065,-26.32,270.0,top
BOOT,104.225,-27.0,90.0,top
C1,94.495889,-32.528389,180.0,top
C10,64.756029,-39.275,180.0,top
C11,65.506029,-37.4,180.0,top
C12,109.650889,-31.528389,90.0,top
C13,113.305,-30.01,0.0,top
C14,109.88,-28.51,0.0,top
C2,102.438389,-32.528389,180.0,top
C3,65.806029,-31.1375,90.0,top
C4,66.52,-55.495,90.0,top
C5,61.231029,-30.35,90.0,top
C6,63.306029,-31.1625,90.0,top
C7,66.133529,-48.76375,180.0,top
C8,64.806029,-41.75,180.0,top
C9,66.133529,-46.08875,180.0,top
D5,37.96,-72.65,180.0,top
D6,60.01,-72.65,180.0,top
D7,82.31,-72.65,180.0,top
D9,104.39,-72.65,180.0,top
J1,68.74,-23.325,180.0,top
J2,35.685,-102.845,0.0,top
J3,57.918333,-102.845,0.0,top
J4,80.151666,-102.845,0.0,top
J5,102.385,-102.845,0.0,top
J6,35.885,-30.415,180.0,top
J7,50.64,-30.415,180.0,top
K1,35.72,-85.9325,270.0,top
K2,57.92,-85.9325,270.0,top
K3,80.12,-85.9325,270.0,top
K4,102.32,-85.9325,270.0,top
Q1,85.2075,-31.07,180.0,top
Q2,85.2075,-35.77,0.0,top
Q3,35.56,-68.835,0.0,top
Q4,57.56,-69.01,0.0,top
Q5,79.935,-68.96,0.0,top
Q6,101.9,-68.86,0.0,top
R1,79.16,-33.26,0.0,top
R10,75.431029,-36.275,0.0,top
R11,75.431029,-37.55,0.0,top
R12,112.150889,-32.153389,180.0,top
R13,56.91,-59.51,0.0,top
R14,79.33,-59.365,0.0,top
R15,41.5,-69.33,0.0,top
R16,63.61,-69.33,0.0,top
R17,85.81,-69.33,0.0,top
R18,101.405,-59.535,0.0,top
R19,107.93,-69.33,0.0,top
R2,79.11,-31.635,0.0,top
R20,68.845,-96.62,180.0,top
R21,46.57,-96.72,180.0,top
R22,89.995,-96.0425,270.0,top
R23,92.345,-96.07,270.0,top
R3,74.981029,-33.95,0.0,top
R4,70.933529,-30.3,0.0,top
R5,72.495,-28.97,0.0,top
R6,97.913389,-32.553389,180.0,top
R7,105.988389,-32.528389,180.0,top
R8,34.9,-59.365,0.0,top
R9,65.533529,-35.85,0.0,top
RELAY1,31.735,-64.785,270.0,top
RELAY2,53.56,-64.81,270.0,top
RELAY3,75.935,-64.835,270.0,top
RELAY4,97.91,-64.785,270.0,top
RESET,96.215,-27.0,90.0,top
U1,68.43,-30.685,270.0,top
U10,107.045,-46.3,270.0,top
U2,72.806029,-45.375,270.0,top
U3,69.906029,-36.1,0.0,top
U5,38.16,-63.835,0.0,top
U6,60.16,-63.835,0.0,top
U7,82.61,-63.835,0.0,top
U8,104.67,-63.835,0.0,top
U9,70.095,-58.34,90.0,top
